n_pairs,correct_vs_wrong_delta,label_flip_rate,evidence_sensitivity_rate,correct_support_score_mean,wrong_support_score_mean,seed,dataset,e3_pair_source
300,0.027009090006589152,0.03,0.4666666666666667,0.037608821564887575,0.01059973155829842,11,vitaminc,official_contrastive
209,0.007655983605688331,0.11004784688995216,0.47368421052631576,0.07621812252659221,0.06856213892090389,11,scifact,synthetic_perturbation
300,0.03260950566652658,0.05,0.5033333333333333,0.05348346019394133,0.020873954527414754,22,vitaminc,official_contrastive
209,0.02239163468627239,0.08133971291866028,0.45933014354066987,0.07621812046230904,0.05382648577603665,22,scifact,synthetic_perturbation
300,0.015687263278014143,0.03333333333333333,0.46,0.03467318369546168,0.018985920417447535,33,vitaminc,official_contrastive
209,-0.015652899625772414,0.11004784688995216,0.4258373205741627,0.07621812142816631,0.09187102105393873,33,scifact,synthetic_perturbation
300,0.0232754980030586,0.023333333333333334,0.4633333333333333,0.03827273043333359,0.014997232430274987,44,vitaminc,official_contrastive
209,-0.0030258946001956366,0.11004784688995216,0.45454545454545453,0.0762181275346791,0.07924402213487473,44,scifact,synthetic_perturbation
300,0.014501008142930611,0.03333333333333333,0.4533333333333333,0.03856069286698281,0.024059684724052205,55,vitaminc,official_contrastive
209,0.016518184324683573,0.09569377990430622,0.45933014354066987,0.07621812769788336,0.05969994337319978,55,scifact,synthetic_perturbation
