method,seed,flat4_accuracy,flat4_macro_f1,flat4_supported_f1,flat4_mild_f1,flat4_strong_f1,flat4_contradiction_f1,strong_binary_macro_f1,strong_positive_f1,strong_precision,strong_recall,escalation_macro_f1,escalation_positive_f1,contradiction_macro_f1,contradiction_positive_f1,thresholds,margin
baseline_flat4,11,0.375,0.36247348886532343,0.43902439024390244,0.2608695652173913,0.1875,0.5625,0.4583333333333333,0.1875,0.1875,0.1875,0.5873282870759742,0.735632183908046,0.7083333333333333,0.5625,,
R1_contra_first,11,0.390625,0.3226984126984127,0.0,0.44,0.2222222222222222,0.6285714285714286,0.5071507150715071,0.2222222222222222,0.2727272727272727,0.1875,0.42857142857142855,0.8571428571428571,0.7443932411674348,0.6285714285714286,"(0.4, 0.65, 0.45)",
R2_strong_first,11,0.359375,0.30354838709677423,0.0,0.44,0.1935483870967742,0.5806451612903226,0.46790821416694384,0.1935483870967742,0.2,0.1875,0.42857142857142855,0.8571428571428571,0.7233122713668108,0.5806451612903226,"(0.4, 0.65, 0.45)",
R3_margin_router,11,0.390625,0.36516203703703703,0.4166666666666667,0.1111111111111111,0.37037037037037035,0.5625,0.45545545545545546,0.37037037037037035,0.2631578947368421,0.625,0.6410256410256411,0.8653846153846154,0.7083333333333333,0.5625,,0.2
R4_conservative_strong,11,0.4375,0.3787998338870432,0.5116279069767442,0.0,0.375,0.6285714285714286,0.5833333333333333,0.375,0.375,0.375,0.6322845417236662,0.7529411764705882,0.7443932411674348,0.6285714285714286,"(0.4, 0.35, 0.55, 0.55)",
R5_strong_recall_router,11,0.390625,0.3116719660837308,0.0,0.16666666666666666,0.43137254901960786,0.6486486486486487,0.5273745861981156,0.43137254901960786,0.3142857142857143,0.6875,0.42857142857142855,0.8571428571428571,0.752895752895753,0.6486486486486487,"(0.35, 0.4, 0.45)",
baseline_flat4,22,0.5,0.4768783068783069,0.48,0.19047619047619047,0.37037037037037035,0.8666666666666667,0.601026769343601,0.37037037037037035,0.45454545454545453,0.3125,0.5733333333333333,0.6666666666666666,0.9129251700680272,0.8666666666666667,,
R1_contra_first,22,0.46875,0.45312335648800683,0.43902439024390244,0.18181818181818182,0.35294117647058826,0.8387096774193549,0.5594493116395495,0.35294117647058826,0.3333333333333333,0.375,0.5873282870759742,0.735632183908046,0.8935816428333887,0.8387096774193549,"(0.5, 0.55, 0.5)",
R2_strong_first,22,0.453125,0.4376840254889035,0.43902439024390244,0.2,0.3783783783783784,0.7333333333333333,0.5628155628155629,0.3783783783783784,0.3333333333333333,0.4375,0.5873282870759742,0.735632183908046,0.8258503401360544,0.7333333333333333,"(0.35, 0.55, 0.5)",
R3_margin_router,22,0.484375,0.43964803312629397,0.45714285714285713,0.0,0.43478260869565216,0.8666666666666667,0.5588547189819725,0.43478260869565216,0.3333333333333333,0.625,0.6264208909370199,0.7956989247311828,0.9129251700680272,0.8666666666666667,,0.2
R4_conservative_strong,22,0.484375,0.47568351691581434,0.43902439024390244,0.25,0.375,0.8387096774193549,0.5833333333333333,0.375,0.375,0.375,0.5873282870759742,0.735632183908046,0.8935816428333887,0.8387096774193549,"(0.5, 0.4, 0.55, 0.5)",
R5_strong_recall_router,22,0.484375,0.41249158249158246,0.0,0.32,0.48148148148148145,0.8484848484848485,0.5515515515515516,0.48148148148148145,0.34210526315789475,0.8125,0.42857142857142855,0.8571428571428571,0.89792663476874,0.8484848484848485,"(0.4, 0.35, 0.4)",
baseline_flat4,33,0.484375,0.4106917388167388,0.5714285714285714,0.1111111111111111,0.2727272727272727,0.6875,0.5608919382504288,0.2727272727272727,0.5,0.1875,0.6190476190476191,0.6666666666666666,0.7916666666666667,0.6875,,
R1_contra_first,33,0.484375,0.46616718036155375,0.34782608695652173,0.3076923076923077,0.4444444444444444,0.7647058823529411,0.571619812583668,0.4444444444444444,0.3448275862068966,0.625,0.6024844720496894,0.8571428571428571,0.8397997496871088,0.7647058823529411,"(0.35, 0.4, 0.45)",
R2_strong_first,33,0.4375,0.43327552151081566,0.3333333333333333,0.29411764705882354,0.3783783783783784,0.7272727272727273,0.5628155628155629,0.3783783783783784,0.3333333333333333,0.4375,0.5897435897435898,0.8461538461538461,0.816267942583732,0.7272727272727273,"(0.3, 0.5, 0.45)",
R3_margin_router,33,0.390625,0.3427840909090909,0.32,0.0,0.36363636363636365,0.6875,0.44209215442092153,0.36363636363636365,0.2564102564102564,0.625,0.5774757281553398,0.8349514563106796,0.7916666666666667,0.6875,,0.2
