paper_id,source_id,pdf_filename,pdf_path,pdf_sha256,n_pages,extraction_status,n_pages_extracted,n_blocks,n_sentences,error_message
AD-001,AD-001,AD-001__2511.10403.pdf,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-001__2511.10403.pdf,98dab14d07c95c4b9a954a8ab09eff16a5a74eeab50dfd3b5bad4ea7c0aae3dd,8,ok,8,42,280,
AD-002,AD-002,AD-002__2603.01023.pdf,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-002__2603.01023.pdf,e4a3bd184d6f8ca2e417b50b4b40256f7450c5727ae4ae6a8b0b972c3d01b671,8,ok,8,43,319,
AD-003,AD-003,AD-003__2605.09972.pdf,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-003__2605.09972.pdf,4b9aeafcdad72193ba606c8143221e7d192ffe6ae057908fce02b4b921f057b1,11,ok,11,43,334,
AD-004,AD-004,AD-004__2605.18059.pdf,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-004__2605.18059.pdf,1478b5d1fc4a148262ff80f7a88eb6ce31bce8b9d54654753e9a1f024926510b,24,ok,24,78,560,
AD-005,AD-005,AD-005__2412.09647.pdf,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-005__2412.09647.pdf,fcb3ac41bc0ce531c62c283f4aa9e7b96ffb1792d8b9455db0717a64af0c6098,20,ok,20,81,558,
AD-006,AD-006,AD-006__2508.02028.pdf,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-006__2508.02028.pdf,8a9afbe83ab702741a55771e9d0aaf32f589536e0c10a00e0f722cb161e01304,13,ok,13,52,387,
AD-007,AD-007,AD-007__2512.01300.pdf,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-007__2512.01300.pdf,16f31895c7be5e7e1780b43d8abfe1d04dbf8ca4c56a3992b30cb00fa606ae3c,19,ok,19,83,522,
AD-009,AD-009,AD-009__2601.19582.pdf,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-009__2601.19582.pdf,ce855259cd0d239b325238539d3d590eb1fc49b808a26406a72b44755b6fef6c,15,ok,15,73,563,
AD-010,AD-010,AD-010__2511.14592.pdf,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-010__2511.14592.pdf,fdc93cd83bd652e531e9e45467dcab49bc7dce260efaf1ae0cd4d3c0406b6b10,17,ok,17,65,443,
AD-011,AD-011,AD-011__2402.12289.pdf,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-011__2402.12289.pdf,e8e169c0ba98e16b10ff7691ae85d2434428c6f64367a05092c99783f21fe25c,30,ok,30,111,730,
