selector,n_eval,flat4_accuracy,flat4_macro_f1,flat4_supported_f1,flat4_mild_f1,flat4_strong_f1,flat4_contradiction_f1,strong_positive_f1,strong_precision,strong_recall,escalation_positive_f1,contradiction_positive_f1,oracle_to_selector_gap,improvement_over_raw_top1
bm25_top1_raw,436,0.38073394495412843,0.3550609028296967,0.4155844155844156,0.25773195876288657,0.18055555555555555,0.5663716814159292,0.18055555555555555,0.37142857142857144,0.11926605504587157,0.6808510638297872,0.5663716814159292,0.2451472556894244,0.0
oracle_span,436,0.4908256880733945,0.45710543907386747,0.5511811023622047,0.1258741258741259,0.42570281124497994,0.7256637168141593,0.42570281124497994,0.37857142857142856,0.48623853211009177,0.8155339805825242,0.7256637168141593,0.0,0.2451472556894244
best_sentence_top3_overlap,436,0.4197247706422018,0.3836715319651227,0.3236994219653179,0.15037593984962405,0.43452380952380953,0.6260869565217392,0.43452380952380953,0.32158590308370044,0.6697247706422018,0.8326180257510729,0.6260869565217392,-0.008820998278829595,0.25396825396825395
best_sentence_top5_overlap,436,0.4243119266055046,0.38469869058703865,0.31213872832369943,0.13636363636363635,0.4502923976608187,0.64,0.4502923976608187,0.33047210300429186,0.7064220183486238,0.8297567954220315,0.64,-0.02458958641583875,0.26973684210526316
best_sentence_top10_overlap,436,0.4105504587155963,0.3730537953241295,0.3181818181818182,0.12030075187969924,0.4418604651162791,0.6118721461187214,0.4418604651162791,0.32340425531914896,0.6972477064220184,0.8275862068965517,0.6118721461187214,-0.016157653871299138,0.2613049095607235
best_sentence_top5_bm25weighted,436,0.3830275229357798,0.3569371568798174,0.2787878787878788,0.1794871794871795,0.41590214067278286,0.5535714285714286,0.41590214067278286,0.3119266055045872,0.6238532110091743,0.8316831683168316,0.5535714285714286,0.009800670572197079,0.2353465851172273
best_sentence_top5_nli_entailment,436,0.33256880733944955,0.3261957491856219,0.3333333333333333,0.19148936170212766,0.33454545454545453,0.44541484716157204,0.33454545454545453,0.27710843373493976,0.42201834862385323,0.8265895953757225,0.44541484716157204,0.0911573566995254,0.15398989898989898
best_sentence_top5_nli_low_entropy,436,0.3532110091743119,0.2869732032527875,0.1925925925925926,0.035398230088495575,0.4288840262582057,0.49101796407185627,0.4288840262582057,0.28160919540229884,0.8990825688073395,0.8521031207598372,0.49101796407185627,-0.003181215013225769,0.24832847070265016
best_sentence_top5_margin,436,0.3348623853211009,0.25725838067002793,0.2585034013605442,0.10852713178294573,0.18666666666666668,0.47533632286995514,0.18666666666666668,0.34146341463414637,0.12844036697247707,0.8496551724137931,0.47533632286995514,0.23903614457831326,0.006111111111111123
two_sentence_window_top5,436,0.39908256880733944,0.37717096853793497,0.4083333333333333,0.12422360248447205,0.3659574468085106,0.6101694915254238,0.3659574468085106,0.3412698412698413,0.3944954128440367,0.7753164556962026,0.6101694915254238,0.05974536443646933,0.18540189125295506
length_limited_top5,436,0.4151376146788991,0.3728559682062391,0.30057803468208094,0.125,0.4463768115942029,0.6194690265486725,0.4463768115942029,0.326271186440678,0.7064220183486238,0.82689556509299,0.6194690265486725,-0.020674000349222954,0.26582125603864737
