dataset,seed,method,e1_n_eval,e1_accuracy,e1_macro_f1,e1_supported_f1,e1_contradiction_f1,e2_n_eval,e2_accuracy,e2_macro_f1,e2_non_support_f1,e2_supported_f1,skipped
vitaminc,11,A_tfidf_claim_evidence,200,0.365,0.42926356589147285,0.4166666666666667,0.4418604651162791,300,0.6033333333333334,0.5404163287374966,0.7104622871046229,0.37037037037037035,False
vitaminc,11,B_tfidf_claim_only,200,0.345,0.398121218199445,0.4293785310734463,0.3668639053254438,300,0.5433333333333333,0.5014011718892164,0.6459948320413437,0.3568075117370892,False
vitaminc,11,C_nli_cross_encoder,200,0.69,0.6993839493839493,0.7705627705627706,0.6282051282051282,300,0.58,0.579925320056899,0.5743243243243243,0.5855263157894737,False
vitaminc,11,D_r4_compatible,200,0.41,0.46264367816091956,0.42528735632183906,0.5,300,0.5833333333333334,0.530069299114024,0.6882793017456359,0.37185929648241206,False
vitaminc,22,A_tfidf_claim_evidence,200,0.355,0.42364725172880874,0.39759036144578314,0.44970414201183434,300,0.5866666666666667,0.5224646983311938,0.697560975609756,0.3473684210526316,False
vitaminc,22,B_tfidf_claim_only,200,0.285,0.33714285714285713,0.2857142857142857,0.38857142857142857,300,0.5366666666666666,0.45685444480625204,0.6650602409638554,0.24864864864864866,False
vitaminc,22,C_nli_cross_encoder,200,0.635,0.6412704440044481,0.6986899563318777,0.5838509316770186,300,0.53,0.5299947777197525,0.5284280936454849,0.53156146179402,False
vitaminc,22,D_r4_compatible,200,0.4,0.4487951807228916,0.39759036144578314,0.5,300,0.5766666666666667,0.5149647999388932,0.687960687960688,0.34196891191709844,False
vitaminc,33,A_tfidf_claim_evidence,200,0.35,0.402347702894151,0.345679012345679,0.45901639344262296,300,0.57,0.4959296646043634,0.689156626506024,0.3027027027027027,False
vitaminc,33,B_tfidf_claim_only,200,0.295,0.35001761183515323,0.36470588235294116,0.33532934131736525,300,0.5566666666666666,0.49477682811016144,0.671604938271605,0.31794871794871793,False
vitaminc,33,C_nli_cross_encoder,200,0.65,0.6680555555555556,0.7111111111111111,0.625,300,0.5633333333333334,0.5629399793147166,0.5760517799352751,0.5498281786941581,False
vitaminc,33,D_r4_compatible,200,0.385,0.4131689242543886,0.3312883435582822,0.49504950495049505,300,0.54,0.47150735294117646,0.6617647058823529,0.28125,False
vitaminc,44,A_tfidf_claim_evidence,200,0.405,0.45406115954061155,0.3424657534246575,0.5656565656565656,300,0.5933333333333334,0.502825472723321,0.7149532710280374,0.29069767441860467,False
vitaminc,44,B_tfidf_claim_only,200,0.39,0.43861988228025106,0.38509316770186336,0.49214659685863876,300,0.5766666666666667,0.5095199474761518,0.6909975669099757,0.328042328042328,False
vitaminc,44,C_nli_cross_encoder,200,0.67,0.6728425696167631,0.7521367521367521,0.5935483870967742,300,0.6133333333333333,0.6130581747020103,0.6233766233766234,0.6027397260273972,False
vitaminc,44,D_r4_compatible,200,0.435,0.48282828282828283,0.4,0.5656565656565656,300,0.6066666666666667,0.5317460317460317,0.719047619047619,0.34444444444444444,False
vitaminc,55,A_tfidf_claim_evidence,200,0.355,0.42898349642179057,0.4311377245508982,0.4268292682926829,300,0.5866666666666667,0.5302081228531016,0.693069306930693,0.3673469387755102,False
vitaminc,55,B_tfidf_claim_only,200,0.395,0.4642461197339246,0.4772727272727273,0.45121951219512196,300,0.5866666666666667,0.5437598116169544,0.6836734693877551,0.40384615384615385,False
vitaminc,55,C_nli_cross_encoder,200,0.655,0.6616034944342679,0.7404255319148936,0.5827814569536424,300,0.56,0.5598239295718287,0.5510204081632653,0.5686274509803921,False
vitaminc,55,D_r4_compatible,200,0.42,0.4766889599689832,0.45614035087719296,0.4972375690607735,300,0.6033333333333334,0.5503268632464637,0.7047146401985112,0.39593908629441626,False
