audit_id_hash,evidence_text_sha256,selected_evidence_sha256,selected_evidence_length,evidence_text_length,alignment_class,similarity_score,conflict_candidate
1d68c2e3fe5c2047,65a7a51906e93e8ca51e770edf0378e1f814a6d7482d0c5bd840ed431c38d3ec,f5c141338b64b43753e8f67b56a6e4ea4ceee574283953061b5e8b1269563136,111,182,low_or_unrelated,0.1638,False
1133d18745c3781e,c0a123676c27cdb012cadc09cfc73ec190893e809d9dacc35fec7ed5436e8c5f,79ae7341af9a21f3ad02d1ef27792ea3490fc25c5225aa22815f3f4242e19686,70,271,exact_or_contained,1.0,False
bdc62610394f46b8,c0a123676c27cdb012cadc09cfc73ec190893e809d9dacc35fec7ed5436e8c5f,79ae7341af9a21f3ad02d1ef27792ea3490fc25c5225aa22815f3f4242e19686,70,271,exact_or_contained,1.0,False
cb46d91ccf8fe3ea,d2a1a4f9866c8e758a966915febe4b157a52f69366fef8c2a86558eeb4439461,cdbb48ba2c7d094fc341fca7c558c9b93646153773b58d7f55e65663ba0bc1d1,56,141,exact_or_contained,1.0,False
c2a4dd9a65811e45,e194c9eb561873f26d98d0af25e54dd2f4d7595ecc31010d5e6fbd2d0040399c,7a4e5ef334aa5819c52491a4015979be433d3df8d6d276c561c35871ba18832e,110,204,low_or_unrelated,0.1316,False
429f70e3d5ee4ebc,e194c9eb561873f26d98d0af25e54dd2f4d7595ecc31010d5e6fbd2d0040399c,7a4e5ef334aa5819c52491a4015979be433d3df8d6d276c561c35871ba18832e,110,204,low_or_unrelated,0.1316,False
bc9edc7cad293c77,edf92dc7f282ad502e05dbd104d66c61750ec65fb4753e875a9e132415cf1258,5111e913e88ff8e529545cf633014532f8a9f8115660e9e97b554852bef42d97,65,131,partial_overlap,0.2245,False
b9904f12751fcbe6,ccd42e0f7d7ae867bd8e6a5bd66830af86c6f746443a1165334d93b997d37e85,35569f5294a75a086da94b0c16b890beec5ab8da379bcb6ffd8998ec0355604a,109,104,partial_overlap,0.3474,False
9857044f006e2088,69fa6759d05f63c48d3157d454a0be7fb3b532166003717765c6f2621b6b86f3,964ec807ea8783502291e25f5eea7c8053d9433a4f022e2d984b6cf0b6f7c931,124,249,low_or_unrelated,0.1707,False
14639c177c733e93,4865cef7a70b49e45acf29d1974732f53dc6319fbe58c71b33a4963d91457155,460a7d5a8c4059e53c91d4cbb42dcaf16abca8d2ebc3b99dd6df600b4a82da1c,113,193,partial_overlap,0.3137,False
