method,seed,flat4_macro_f1,flat4_strong_f1,flat4_supported_f1,flat4_mild_f1,flat4_contradiction_f1,strong_positive_f1,strong_precision,strong_recall,escalation_macro_f1,escalation_positive_f1,contradiction_macro_f1,contradiction_positive_f1,supported_to_strong_rate,mild_to_strong_rate
R4_conservative_strong,11,0.3787998338870432,0.375,0.5116279069767442,0.0,0.6285714285714286,0.375,0.375,0.375,0.6322845417236662,0.7529411764705882,0.7443932411674348,0.6285714285714286,0.1875,0.25
A1_temp_scaled_router,11,0.4089362574298012,0.47058823529411764,0.5365853658536586,0.0,0.6285714285714286,0.47058823529411764,0.4444444444444444,0.5,0.6590972806279787,0.7816091954022989,0.7443932411674348,0.6285714285714286,0.1875,0.25
A2_isotonic_router,11,0.3226984126984127,0.2222222222222222,0.0,0.44,0.6285714285714286,0.2222222222222222,0.2727272727272727,0.1875,0.42857142857142855,0.8571428571428571,0.7443932411674348,0.6285714285714286,0.1875,0.1875
A3_platt_router,11,0.3346824228403176,0.18181818181818182,0.10526315789473684,0.4230769230769231,0.6285714285714286,0.18181818181818182,0.3333333333333333,0.125,0.47464992757122165,0.8440366972477065,0.7443932411674348,0.6285714285714286,0.0625,0.125
B_cost_sensitive_cw1.5,11,0.3226984126984127,0.2222222222222222,0.0,0.44,0.6285714285714286,0.2222222222222222,0.2727272727272727,0.1875,0.42857142857142855,0.8571428571428571,0.7443932411674348,0.6285714285714286,0.1875,0.1875
B_cost_sensitive_cw2.0,11,0.3787998338870432,0.375,0.5116279069767442,0.0,0.6285714285714286,0.375,0.375,0.375,0.6322845417236662,0.7529411764705882,0.7443932411674348,0.6285714285714286,0.1875,0.25
B_cost_sensitive_cw3.0,11,0.3787998338870432,0.375,0.5116279069767442,0.0,0.6285714285714286,0.375,0.375,0.375,0.6322845417236662,0.7529411764705882,0.7443932411674348,0.6285714285714286,0.1875,0.25
B_cost_sensitive_cw4.0,11,0.4089362574298012,0.47058823529411764,0.5365853658536586,0.0,0.6285714285714286,0.47058823529411764,0.4444444444444444,0.5,0.6590972806279787,0.7816091954022989,0.7443932411674348,0.6285714285714286,0.1875,0.25
C_ordinal_severity,11,0.30105263157894735,0.3508771929824561,0.0,0.32,0.5333333333333333,0.3508771929824561,0.24390243902439024,0.625,0.42857142857142855,0.8571428571428571,0.6952380952380952,0.5333333333333333,0.75,0.6875
D1_ovr_contra_priority,11,0.3849668349668349,0.2702702702702703,0.3076923076923077,0.3333333333333333,0.6285714285714286,0.2702702702702703,0.23809523809523808,0.3125,0.5656108597285068,0.8235294117647058,0.7443932411674348,0.6285714285714286,0.375,0.375
D2_ovr_strong_priority,11,0.3531135531135531,0.23809523809523808,0.3076923076923077,0.3333333333333333,0.5333333333333333,0.23809523809523808,0.19230769230769232,0.3125,0.5656108597285068,0.8235294117647058,0.6952380952380952,0.5333333333333333,0.4375,0.4375
