method,strong_positive_f1,delta_vs_r4_strong,flat4_macro_f1,delta_vs_r4_flat4,contradiction_positive_f1,delta_vs_r4_contra,escalation_macro_f1,delta_vs_r4_escalation,strong_precision,strong_recall,supported_to_strong_rate,mild_to_strong_rate,positive_delta_seed_count,ci_lower,ci_upper,recommended_use
A1_temp_scaled_router,0.4076,0.0109,0.4338,0.01,0.7296,0.0,0.6218,0.0074,0.3894,0.4562,0.275,0.3875,3,-0.0088,0.035,auxiliary_module
A2_isotonic_router,0.3661,-0.0307,0.4302,0.0063,0.7296,0.0,0.6168,0.0025,0.412,0.3812,0.1812,0.3063,5,-0.1119,0.0428,reject
A3_platt_router,0.254,-0.1427,0.4147,-0.0091,0.7275,-0.0021,0.5786,-0.0357,0.509,0.1938,0.075,0.125,1,-0.21,-0.0774,reject
B_cost_sensitive_cw1.5,0.4136,0.0169,0.4268,0.003,0.7296,0.0,0.6008,-0.0135,0.3859,0.475,0.2938,0.3875,6,-0.0366,0.068,auxiliary_module
B_cost_sensitive_cw2.0,0.4023,0.0056,0.4274,0.0036,0.7296,0.0,0.6305,0.0161,0.3952,0.4375,0.2313,0.3875,3,-0.012,0.0233,auxiliary_module
B_cost_sensitive_cw3.0,0.4059,0.0092,0.4269,0.0031,0.7296,0.0,0.6254,0.0111,0.3886,0.4625,0.2812,0.3937,3,0.0,0.02,auxiliary_module
B_cost_sensitive_cw4.0,0.4221,0.0254,0.4365,0.0127,0.7296,0.0,0.6262,0.0119,0.4109,0.4625,0.2437,0.3625,7,-0.0153,0.0686,auxiliary_module
C_ordinal_severity,0.3685,-0.0282,0.3783,-0.0455,0.7084,-0.0212,0.4615,-0.1528,0.2987,0.5563,0.4938,0.4813,5,-0.1057,0.0385,diagnostic_only
D1_ovr_contra_priority,0.3141,-0.0826,0.3854,-0.0384,0.741,0.0114,0.4972,-0.1172,0.2778,0.4188,0.4625,0.4313,2,-0.1453,-0.0175,reject
D2_ovr_strong_priority,0.3036,-0.0931,0.3813,-0.0426,0.7078,-0.0218,0.5017,-0.1127,0.2618,0.4062,0.4313,0.4313,3,-0.1625,-0.0207,reject
D3_ovr_max_prob,0.2397,-0.1571,0.4003,-0.0235,0.7311,0.0015,0.5789,-0.0354,0.3083,0.2062,0.2062,0.1875,1,-0.2033,-0.1034,reject
E_error_corrector_r4,0.2787,-0.118,0.4135,-0.0103,0.7296,0.0,0.5892,-0.0251,0.3851,0.25,0.175,0.1812,1,-0.1784,-0.0639,reject
F_recall_balance_router,0.3185,-0.0782,0.4189,-0.0049,0.7275,-0.0021,0.5885,-0.0259,0.4674,0.2875,0.125,0.2437,1,-0.134,-0.0328,reject
