seed,objective,t_contra,t_strong,t_svm,dev_score,dev_flat4_macro,dev_strong_pf1,dev_contra_pf1
11,OBJ1_flat4_macro,0.4,0.65,0.45,0.5013,0.5013,0.3871,0.7647
11,OBJ2_strong_pf1_constrained,0.35,0.5,0.4,0.44,0.3692,0.44,0.7429
11,OBJ3_weighted,0.4,0.65,0.45,0.5316,0.5013,0.3871,0.7647
22,OBJ1_flat4_macro,0.5,0.55,0.5,0.5444,0.5444,0.4706,0.8889
22,OBJ2_strong_pf1_constrained,0.4,0.35,0.4,0.5185,0.4351,0.5185,0.8649
22,OBJ3_weighted,0.5,0.55,0.5,0.6098,0.5444,0.4706,0.8889
33,OBJ1_flat4_macro,0.35,0.4,0.45,0.4864,0.4864,0.4681,0.7333
33,OBJ2_strong_pf1_constrained,0.35,0.4,0.4,0.4681,0.4075,0.4681,0.7333
33,OBJ3_weighted,0.35,0.4,0.45,0.5412,0.4864,0.4681,0.7333
44,OBJ1_flat4_macro,0.4,0.4,0.45,0.4234,0.4234,0.4348,0.6111
44,OBJ2_strong_pf1_constrained,0.4,0.4,0.4,0.4348,0.4,0.4348,0.6111
44,OBJ3_weighted,0.4,0.4,0.45,0.4786,0.4234,0.4348,0.6111
55,OBJ1_flat4_macro,0.5,0.7,0.5,0.4965,0.4965,0.4167,0.6857
55,OBJ2_strong_pf1_constrained,0.45,0.4,0.4,0.4528,0.3299,0.4528,0.6667
55,OBJ3_weighted,0.5,0.7,0.5,0.5206,0.4965,0.4167,0.6857
66,OBJ1_flat4_macro,0.55,0.55,0.6,0.5339,0.5339,0.5128,0.7647
66,OBJ2_strong_pf1_constrained,0.55,0.5,0.4,0.5333,0.437,0.5333,0.7647
66,OBJ3_weighted,0.55,0.55,0.6,0.588,0.5339,0.5128,0.7647
77,OBJ1_flat4_macro,0.45,0.55,0.55,0.5034,0.5034,0.4516,0.8108
77,OBJ2_strong_pf1_constrained,0.45,0.55,0.4,0.4516,0.4333,0.4516,0.8108
77,OBJ3_weighted,0.45,0.55,0.55,0.5705,0.5034,0.4516,0.8108
88,OBJ1_flat4_macro,0.5,0.5,0.5,0.484,0.484,0.5263,0.7429
88,OBJ2_strong_pf1_constrained,0.45,0.45,0.4,0.5532,0.4022,0.5532,0.7222
88,OBJ3_weighted,0.5,0.5,0.5,0.5623,0.484,0.5263,0.7429
99,OBJ1_flat4_macro,0.55,0.55,0.55,0.477,0.477,0.4091,0.7059
99,OBJ2_strong_pf1_constrained,0.55,0.45,0.4,0.4286,0.3193,0.4286,0.7059
99,OBJ3_weighted,0.55,0.55,0.55,0.5282,0.477,0.4091,0.7059
111,OBJ1_flat4_macro,0.6,0.5,0.55,0.5013,0.5013,0.5909,0.6667
111,OBJ2_strong_pf1_constrained,0.6,0.5,0.4,0.5909,0.46,0.5909,0.6667
111,OBJ3_weighted,0.6,0.5,0.55,0.5842,0.5013,0.5909,0.6667
