method,seed,strong_positive_f1,strong_macro_f1,strong_precision,strong_recall,flat4_strong_f1
A6_tfidf_claim_only,11,0.3673469387755102,0.48747093774218553,0.2727272727272727,0.5625,0.39285714285714285
A0_nli_only,11,0.36666666666666664,0.403921568627451,0.25,0.6875,0.36666666666666664
A1_action_gap_only,11,0.3181818181818182,0.48051948051948057,0.25,0.4375,0.34615384615384615
A2_nli_plus_action_gap,11,0.4,0.5373493975903614,0.3103448275862069,0.5625,0.375
A3_nli_plus_length_overlap,11,0.32653061224489793,0.45440454662877805,0.24242424242424243,0.5,0.34615384615384615
A4_nli_plus_gap_no_length,11,0.4230769230769231,0.5141700404858299,0.3055555555555556,0.6875,0.4
A5_nli_plus_gap_no_claim_strength,11,0.391304347826087,0.5249204665959704,0.3,0.5625,0.375
A6_tfidf_claim_only,22,0.18181818181818182,0.4488038277511962,0.17647058823529413,0.1875,0.2926829268292683
A0_nli_only,22,0.43137254901960786,0.5273745861981156,0.3142857142857143,0.6875,0.43137254901960786
A1_action_gap_only,22,0.358974358974359,0.5390377412849323,0.30434782608695654,0.4375,0.4090909090909091
A2_nli_plus_action_gap,22,0.5,0.6,0.375,0.75,0.4897959183673469
A3_nli_plus_length_overlap,22,0.5116279069767442,0.6322845417236662,0.4074074074074074,0.6875,0.4782608695652174
A4_nli_plus_gap_no_length,22,0.42857142857142855,0.574750830564784,0.34615384615384615,0.5625,0.46511627906976744
A5_nli_plus_gap_no_claim_strength,22,0.5,0.6,0.375,0.75,0.4897959183673469
A6_tfidf_claim_only,33,0.2926829268292683,0.4796747967479674,0.24,0.375,0.3829787234042553
A0_nli_only,33,0.375,0.5,0.28125,0.5625,0.375
A1_action_gap_only,33,0.4186046511627907,0.5622435020519836,0.3333333333333333,0.5625,0.43478260869565216
A2_nli_plus_action_gap,33,0.3783783783783784,0.5628155628155629,0.3333333333333333,0.4375,0.3684210526315789
A3_nli_plus_length_overlap,33,0.3888888888888889,0.5748792270531401,0.35,0.4375,0.41025641025641024
A4_nli_plus_gap_no_length,33,0.41025641025641024,0.5759147219821377,0.34782608695652173,0.5,0.4
A5_nli_plus_gap_no_claim_strength,33,0.3783783783783784,0.5628155628155629,0.3333333333333333,0.4375,0.3684210526315789
A6_tfidf_claim_only,44,0.25,0.5,0.25,0.25,0.3
A0_nli_only,44,0.4782608695652174,0.5927889713679746,0.36666666666666664,0.6875,0.4782608695652174
A1_action_gap_only,44,0.34782608695652173,0.4909862142099682,0.26666666666666666,0.5,0.37735849056603776
A2_nli_plus_action_gap,44,0.46511627906976744,0.5972640218878249,0.37037037037037035,0.625,0.43478260869565216
A3_nli_plus_length_overlap,44,0.5238095238095238,0.64562569213732,0.4230769230769231,0.6875,0.5106382978723404
A4_nli_plus_gap_no_length,44,0.46808510638297873,0.5797215655371684,0.3548387096774194,0.6875,0.4583333333333333
A5_nli_plus_gap_no_claim_strength,44,0.46511627906976744,0.5972640218878249,0.37037037037037035,0.625,0.43478260869565216
A6_tfidf_claim_only,55,0.3,0.49090909090909085,0.25,0.375,0.3181818181818182
A0_nli_only,55,0.375,0.5,0.28125,0.5625,0.375
A1_action_gap_only,55,0.35,0.5272727272727273,0.2916666666666667,0.4375,0.3404255319148936
A2_nli_plus_action_gap,55,0.3225806451612903,0.5530428999002328,0.3333333333333333,0.3125,0.2857142857142857
A3_nli_plus_length_overlap,55,0.36363636363636365,0.5712918660287081,0.35294117647058826,0.375,0.3076923076923077
A4_nli_plus_gap_no_length,55,0.35,0.5272727272727273,0.2916666666666667,0.4375,0.35555555555555557
