method,seed,flat4_accuracy,flat4_macro_f1,flat4_supported_f1,flat4_mild_f1,flat4_strong_f1,flat4_contradiction_f1,strong_binary_macro_f1,strong_positive_f1,strong_precision,strong_recall,escalation_macro_f1,escalation_positive_f1,contradiction_macro_f1,contradiction_positive_f1
baseline_flat4,11,0.375,0.36247348886532343,0.43902439024390244,0.2608695652173913,0.1875,0.5625,0.4583333333333333,0.1875,0.1875,0.1875,0.5873282870759742,0.735632183908046,0.7083333333333333,0.5625
E1_contra_first,11,0.4375,0.43442253474954107,0.45161290322580644,0.3333333333333333,0.3902439024390244,0.5625,0.551443790299972,0.3902439024390244,0.32,0.5,0.6381775856335218,0.8247422680412371,0.7083333333333333,0.5625
E2_strong_first,11,0.421875,0.42123655913978497,0.45161290322580644,0.3333333333333333,0.4,0.5,0.5373493975903614,0.4,0.3103448275862069,0.5625,0.6381775856335218,0.8247422680412371,0.6799999999999999,0.5
E3_soft_voting,11,0.328125,0.2720430107526882,0.2,0.0,0.3548387096774194,0.5333333333333333,0.37438905180840665,0.3548387096774194,0.2391304347826087,0.6875,0.5259259259259259,0.8518518518518519,0.6952380952380952,0.5333333333333333
baseline_flat4,22,0.5,0.4768783068783069,0.48,0.19047619047619047,0.37037037037037035,0.8666666666666667,0.601026769343601,0.37037037037037035,0.45454545454545453,0.3125,0.5733333333333333,0.6666666666666666,0.9129251700680272,0.8666666666666667
E1_contra_first,22,0.5,0.4509564891222806,0.5,0.0,0.46511627906976744,0.8387096774193549,0.5972640218878249,0.46511627906976744,0.37037037037037035,0.625,0.6521739130434783,0.8043478260869565,0.8935816428333887,0.8387096774193549
E2_strong_first,22,0.484375,0.4423076923076923,0.5,0.0,0.5,0.7692307692307693,0.6,0.5,0.375,0.75,0.6521739130434783,0.8043478260869565,0.8552036199095023,0.7692307692307693
E3_soft_voting,22,0.453125,0.375944170771757,0.2,0.0,0.47619047619047616,0.8275862068965517,0.48424908424908425,0.47619047619047616,0.3191489361702128,0.9375,0.5259259259259259,0.8518518518518519,0.8885405781957506,0.8275862068965517
baseline_flat4,33,0.484375,0.4106917388167388,0.5714285714285714,0.1111111111111111,0.2727272727272727,0.6875,0.5608919382504288,0.2727272727272727,0.5,0.1875,0.6190476190476191,0.6666666666666666,0.7916666666666667,0.6875
E1_contra_first,33,0.5,0.43125583566760034,0.5714285714285714,0.0,0.3888888888888889,0.7647058823529411,0.5748792270531401,0.3888888888888889,0.35,0.4375,0.681063122923588,0.7906976744186046,0.8397997496871088,0.7647058823529411
E2_strong_first,33,0.484375,0.4192699192699193,0.5714285714285714,0.0,0.3783783783783784,0.7272727272727273,0.5628155628155629,0.3783783783783784,0.3333333333333333,0.4375,0.681063122923588,0.7906976744186046,0.816267942583732,0.7272727272727273
