group_id,domain,mean_tfidf_cosine,mean_token_jaccard,mean_sequence_ratio,action_cue_count,template_risk_score,risk_tier
SBV2-ALL92-G002,autonomous_driving,0.3988,0.4573,0.6959,0,0.3988,medium
SBV2-ALL92-G003,autonomous_driving,0.6072,0.6031,0.8163,0,0.6072,high
SBV2-ALL92-G004,autonomous_driving,0.4414,0.5979,0.7641,0,0.4414,medium
SBV2-ALL92-G007,autonomous_driving,0.6525,0.6586,0.8733,0,0.6525,high
SBV2-ALL92-G008,autonomous_driving,0.5233,0.5676,0.7535,0,0.5233,medium
SBV2-ALL92-G011,autonomous_driving,0.4896,0.484,0.7402,0,0.4896,medium
SBV2-ALL92-G013,autonomous_driving,0.6086,0.6206,0.8878,0,0.6086,high
SBV2-ALL92-G014,autonomous_driving,0.7051,0.7516,0.8941,0,0.7051,high
SBV2-ALL92-G018,autonomous_driving,0.6076,0.6139,0.8267,0,0.6076,high
SBV2-ALL92-G019,autonomous_driving,0.696,0.8047,0.8889,0,0.696,high
SBV2-ALL92-G020,autonomous_driving,0.7573,0.6792,0.76,0,0.7573,high
SBV2-ALL92-G021,autonomous_driving,0.706,0.7785,0.9103,0,0.706,high
SBV2-ALL92-G025,autonomous_driving,0.5553,0.6627,0.808,0,0.5553,medium
SBV2-ALL92-G027,autonomous_driving,0.7396,0.7676,0.8731,0,0.7396,high
SBV2-ALL92-G028,autonomous_driving,0.4688,0.5,0.7214,0,0.4688,medium
SBV2-ALL92-G030,autonomous_driving,0.6136,0.6192,0.776,4,0.6136,high
SBV2-ALL92-G031,autonomous_driving,0.8314,0.9007,0.8938,0,0.8314,high
SBV2-ALL92-G032,autonomous_driving,0.6655,0.635,0.8191,0,0.6655,high
SBV2-ALL92-G033,autonomous_driving,0.5735,0.71,0.8473,0,0.5735,medium
SBV2-ALL92-G034,autonomous_driving,0.5936,0.6886,0.7769,0,0.5936,medium
SBV2-ALL92-G035,autonomous_driving,0.8902,1.0,0.975,0,0.8902,high
SBV2-ALL92-G036,autonomous_driving,0.6692,0.6009,0.6796,0,0.6692,high
SBV2-ALL92-G037,autonomous_driving,0.5812,0.6454,0.8646,0,0.5812,medium
SBV2-ALL92-G038,autonomous_driving,0.8111,1.0,0.9804,0,0.8111,high
