method,prevalence,recall_mean,precision_mean,positive_f1_mean,fp_tp_ratio_median,review_burden_mean,accuracy_mean
r4,0.01,0.3686,0.008,0.0156,120.0,0.4627,0.5347
gpt_standard,0.01,0.0425,0.355,0.0751,0.0,0.0004,0.9904
gpt_structured,0.01,0.0389,0.334,0.069,0.0,0.0004,0.9904
deepseek,0.01,0.0415,0.363,0.0738,0.0,0.0004,0.9904
r4,0.03,0.3547,0.023,0.0433,42.9045,0.4615,0.5298
gpt_standard,0.03,0.04,0.705,0.0746,0.0,0.0012,0.9712
gpt_structured,0.03,0.0398,0.709,0.0743,0.0,0.0012,0.9712
deepseek,0.03,0.0402,0.687,0.0749,0.0,0.0012,0.9712
r4,0.05,0.3623,0.0395,0.0712,24.2778,0.4584,0.5278
gpt_standard,0.05,0.0402,0.878,0.076,0.0,0.002,0.952
gpt_structured,0.05,0.0407,0.864,0.0768,0.0,0.002,0.952
deepseek,0.05,0.041,0.879,0.0773,0.0,0.002,0.952
r4,0.1,0.3599,0.0794,0.13,11.5946,0.4533,0.5187
gpt_standard,0.1,0.0407,0.986,0.0775,0.0,0.0041,0.9041
gpt_structured,0.1,0.041,0.983,0.078,0.0,0.0041,0.9041
deepseek,0.1,0.0403,0.979,0.0768,0.0,0.004,0.904
r4,0.15,0.3603,0.1201,0.1801,7.3271,0.4498,0.5083
gpt_standard,0.15,0.0394,1.0,0.0754,0.0,0.0059,0.8559
gpt_structured,0.15,0.0405,0.996,0.0773,0.0,0.0061,0.8561
deepseek,0.15,0.04,0.995,0.0765,0.0,0.006,0.856
r4,0.2,0.3603,0.1626,0.224,5.1399,0.443,0.5011
gpt_standard,0.2,0.0399,1.0,0.0765,0.0,0.008,0.808
gpt_structured,0.2,0.0396,1.0,0.0758,0.0,0.0079,0.8079
deepseek,0.2,0.0402,1.0,0.077,0.0,0.008,0.808
