method,prevalence,recall_mean,recall_ci_lo,recall_ci_hi,precision_mean,precision_ci_lo,precision_ci_hi,positive_f1_mean,positive_f1_ci_lo,positive_f1_ci_hi,fp_tp_ratio_mean,fp_tp_ratio_median,review_burden_mean,accuracy_mean,llm_missed_strong_captured_mean,strong_missed_by_all_methods_mean,n_bootstrap,n_population
r4,0.01,0.36860000000000004,0.1,0.7,0.007968022533938173,0.00211864406779661,0.014957264957264958,0.015598471803443889,0.004149377593360996,0.029288702928870296,156.02553253968253,120.0,0.46267899999999995,0.534693,3.278,6.314,1000,1000
gpt_standard,0.01,0.0425,0.0,0.2,0.355,0.0,1.0,0.07505827505827507,0.0,0.33333333333333337,0.0,0.0,0.00042500000000000003,0.9904250000000001,0.0,0.0,1000,1000
gpt_structured,0.01,0.038900000000000004,0.0,0.2,0.334,0.0,1.0,0.068990675990676,0.0,0.33333333333333337,0.0,0.0,0.000389,0.990389,0.0,0.0,1000,1000
deepseek,0.01,0.0415,0.0,0.2,0.363,0.0,1.0,0.07383216783216784,0.0,0.33333333333333337,0.0,0.0,0.00041500000000000006,0.9904149999999999,0.0,0.0,1000,1000
r4,0.03,0.35466666666666663,0.2,0.5333333333333333,0.023046359854970333,0.0128452379328687,0.03504775373011969,0.04327754475060899,0.024140049880119044,0.06551071935594012,45.33667757089831,42.904545454545456,0.461516,0.5297640000000001,9.45,19.36,1000,1000
gpt_standard,0.03,0.04,0.0,0.13333333333333333,0.705,0.0,1.0,0.07461895745458363,0.0,0.23529411764705882,0.0,0.0,0.0012000000000000001,0.9712000000000001,0.0,0.0,1000,1000
gpt_structured,0.03,0.039799999999999995,0.0,0.13333333333333333,0.709,0.0,1.0,0.07430174269121137,0.0,0.23529411764705882,0.0,0.0,0.0011940000000000002,0.9711940000000001,0.0,0.0,1000,1000
deepseek,0.03,0.040233333333333336,0.0,0.13333333333333333,0.687,0.0,1.0,0.07487055702046215,0.0,0.23529411764705882,0.0,0.0,0.0012070000000000004,0.9712070000000002,0.0,0.0,1000,1000
r4,0.05,0.36225999999999997,0.24,0.5,0.03950304948362836,0.026028960193819197,0.05321571918370699,0.07123113318999827,0.04696443860078278,0.09581701980654077,25.261681322028092,24.27777777777778,0.45841600000000005,0.5278100000000001,16.107,31.887,1000,1000
gpt_standard,0.05,0.0402,0.0,0.1,0.878,0.0,1.0,0.07595857761673522,0.0,0.18181818181818182,0.0,0.0,0.0020100000000000005,0.95201,0.0,0.0,1000,1000
gpt_structured,0.05,0.04068000000000001,0.0,0.1,0.864,0.0,1.0,0.07679226191116488,0.0,0.18181818181818182,0.0,0.0,0.0020340000000000002,0.952034,0.0,0.0,1000,1000
deepseek,0.05,0.04098,0.0,0.1,0.879,0.0,1.0,0.07733228022310329,0.0,0.18181818181818182,0.0,0.0,0.002049,0.9520489999999999,0.0,0.0,1000,1000
r4,0.1,0.35986,0.27,0.46,0.07936352150633297,0.06021430704898447,0.09976835890905979,0.13002572014229677,0.09835777969513951,0.16240240477271078,11.796467171344615,11.594594594594595,0.453274,0.5186980000000001,32.003,64.014,1000,1000
gpt_standard,0.1,0.04068000000000001,0.01,0.08,0.986,1.0,1.0,0.07748302397694043,0.019801980198019802,0.14814814814814814,0.0,0.0,0.0040680000000000004,0.904068,0.0,0.0,1000,1000
gpt_structured,0.1,0.04095,0.01,0.08,0.983,1.0,1.0,0.0779575883686957,0.019801980198019802,0.14814814814814814,0.0,0.0,0.0040950000000000005,0.904095,0.0,0.0,1000,1000
deepseek,0.1,0.04030000000000001,0.01,0.08,0.979,1.0,1.0,0.0768032747888958,0.019801980198019802,0.14814814814814814,0.0,0.0,0.004030000000000001,0.90403,0.0,0.0,1000,1000
r4,0.15,0.3603133333333333,0.2866666666666667,0.43333333333333335,0.12012948856138367,0.09619469230414818,0.14350439423961167,0.1801426738410567,0.1444958544369666,0.2147741244148666,7.412473954106812,7.327097902097902,0.44983000000000006,0.508264,48.063,95.953,1000,1000
gpt_standard,0.15,0.039426666666666665,0.013333333333333334,0.07333333333333333,1.0,1.0,1.0,0.07543117174225304,0.02631578947368421,0.13664596273291926,0.0,0.0,0.005914000000000002,0.855914,0.0,0.0,1000,1000
gpt_structured,0.15,0.04046,0.013333333333333334,0.07333333333333333,0.996,1.0,1.0,0.0773001182037348,0.02631578947368421,0.13664596273291926,0.0,0.0,0.006069000000000001,0.856069,0.0,0.0,1000,1000
deepseek,0.15,0.04001999999999999,0.013333333333333334,0.07333333333333333,0.995,1.0,1.0,0.07652313432192438,0.02631578947368421,0.13664596273291926,0.0,0.0,0.006003000000000001,0.856003,0.0,0.0,1000,1000
r4,0.2,0.36027499999999996,0.295,0.425,0.16258082297226348,0.13625594986392567,0.18965618186223046,0.2239973608332766,0.1874728475513428,0.26209309957764165,5.194899968021884,5.139866979655713,0.44300900000000004,0.501101,64.073,127.945,1000,1000
gpt_standard,0.2,0.03994500000000001,0.015,0.07,1.0,1.0,1.0,0.0764881774196476,0.02955665024630542,0.13084112149532712,0.0,0.0,0.007989000000000001,0.8079890000000001,0.0,0.0,1000,1000
gpt_structured,0.2,0.039560000000000005,0.015,0.07,1.0,1.0,1.0,0.07577349775786615,0.02955665024630542,0.13084112149532712,0.0,0.0,0.007912,0.8079120000000001,0.0,0.0,1000,1000
deepseek,0.2,0.04020000000000001,0.015,0.07,1.0,1.0,1.0,0.0769530438012399,0.02955665024630542,0.13084112149532712,0.0,0.0,0.008039999999999999,0.80804,0.0,0.0,1000,1000
