taxonomy,method,n_classes,classes,macro_f1,positive_f1_strong,strong_recall,overclaim_recall
1_original_4class,r4,4,contradiction_candidate|mild_scope_overclaim|strong_action_overclaim|supported,0.328,,,
1_original_4class,gpt_standard,4,contradiction_candidate|mild_scope_overclaim|strong_action_overclaim|supported,0.5523,,,
1_original_4class,gpt_structured,4,contradiction_candidate|mild_scope_overclaim|strong_action_overclaim|supported,0.5543,,,
1_original_4class,deepseek,4,contradiction_candidate|mild_scope_overclaim|strong_action_overclaim|supported,0.5248,,,
2_supported_overclaim_contradiction,r4,3,contradiction_candidate|overclaim|supported,0.4728,,,0.72
2_supported_overclaim_contradiction,gpt_standard,3,contradiction_candidate|overclaim|supported,0.7398,,,0.54
2_supported_overclaim_contradiction,gpt_structured,3,contradiction_candidate|overclaim|supported,0.7469,,,0.5
2_supported_overclaim_contradiction,deepseek,3,contradiction_candidate|overclaim|supported,0.7112,,,0.48
3_acceptable_strong_contradiction,r4,3,acceptable|contradiction_candidate|strong_action_overclaim,0.497,,,
3_acceptable_strong_contradiction,gpt_standard,3,acceptable|contradiction_candidate|strong_action_overclaim,0.5299,,,
3_acceptable_strong_contradiction,gpt_structured,3,acceptable|contradiction_candidate|strong_action_overclaim,0.5299,,,
3_acceptable_strong_contradiction,deepseek,3,acceptable|contradiction_candidate|strong_action_overclaim,0.5626,,,
4_strong_vs_rest,r4,2,rest|strong,0.5,0.3,0.36,
4_strong_vs_rest,gpt_standard,2,rest|strong,0.4695,0.0769,0.04,
4_strong_vs_rest,gpt_structured,2,rest|strong,0.4695,0.0769,0.04,
4_strong_vs_rest,deepseek,2,rest|strong,0.4695,0.0769,0.04,
5_overclaim_vs_nonoverclaim,r4,2,non_overclaim|overclaim,0.5484,,,0.72
5_overclaim_vs_nonoverclaim,gpt_standard,2,non_overclaim|overclaim,0.7106,,,0.54
5_overclaim_vs_nonoverclaim,gpt_structured,2,non_overclaim|overclaim,0.7149,,,0.5
5_overclaim_vs_nonoverclaim,deepseek,2,non_overclaim|overclaim,0.7029,,,0.48
