setting,n_eval,flat4_accuracy,flat4_macro_f1,flat4_supported_f1,flat4_mild_f1,flat4_strong_f1,flat4_contradiction_f1,strong_positive_f1,strong_precision,strong_recall,escalation_positive_f1,contradiction_positive_f1
oracle_span,436,0.4908256880733945,0.45710543907386747,0.5511811023622047,0.1258741258741259,0.42570281124497994,0.7256637168141593,0.42570281124497994,0.37857142857142856,0.48623853211009177,0.8155339805825242,0.7256637168141593
raw_bm25_top1_chunk,436,0.38073394495412843,0.3550609028296967,0.4155844155844156,0.25773195876288657,0.18055555555555555,0.5663716814159292,0.18055555555555555,0.37142857142857144,0.11926605504587157,0.6808510638297872,0.5663716814159292
cleaned_top1_chunk,436,0.38073394495412843,0.3575790942992315,0.41904761904761906,0.22702702702702704,0.22818791946308725,0.5560538116591929,0.22818791946308725,0.425,0.1559633027522936,0.6714542190305206,0.5560538116591929
best_sentence_from_top1,436,0.3761467889908257,0.35053246828596796,0.27710843373493976,0.18064516129032257,0.4110429447852761,0.5333333333333333,0.4110429447852761,0.3087557603686636,0.6146788990825688,0.830028328611898,0.5333333333333333
three_sentence_window_from_top1,436,0.3646788990825688,0.3514454180256179,0.38545454545454544,0.20765027322404372,0.26881720430107525,0.543859649122807,0.26881720430107525,0.3246753246753247,0.22935779816513763,0.7169179229480737,0.543859649122807
best_sentence_from_top5,436,0.4243119266055046,0.38469869058703865,0.31213872832369943,0.13636363636363635,0.4502923976608187,0.64,0.4502923976608187,0.33047210300429186,0.7064220183486238,0.8297567954220315,0.64
three_sentence_window_from_top5,436,0.38073394495412843,0.35686416134547616,0.3933333333333333,0.16,0.25609756097560976,0.6180257510729614,0.25609756097560976,0.38181818181818183,0.1926605504587156,0.6818181818181818,0.6180257510729614
oracle_span_clean,436,0.4908256880733945,0.45710543907386747,0.5511811023622047,0.1258741258741259,0.42570281124497994,0.7256637168141593,0.42570281124497994,0.37857142857142856,0.48623853211009177,0.8155339805825242,0.7256637168141593
oracle_with_metadata,436,0.48853211009174313,0.44229365803971255,0.5098039215686274,0.07142857142857142,0.4155844155844156,0.7723577235772358,0.4155844155844156,0.39344262295081966,0.44036697247706424,0.7974068071312804,0.7723577235772358
oracle_lengthened,436,0.4380733944954128,0.3712405195128899,0.49411764705882355,0.14285714285714285,0.09375,0.7542372881355932,0.09375,0.3157894736842105,0.05504587155963303,0.6766917293233082,0.7542372881355932
