seed,mode,t_contra,t_contra_low,t_strong,t_svm,t_contra_low_source,flat4_accuracy,flat4_macro_f1,flat4_supported_f1,flat4_mild_f1,flat4_strong_f1,flat4_contradiction_f1,strong_binary_macro_f1,strong_positive_f1,strong_precision,strong_recall,escalation_macro_f1,escalation_positive_f1,contradiction_macro_f1,contradiction_positive_f1
11,exact_reproduction,0.4,0.35,0.55,0.55,historical_routing_variant_results,0.4375,0.3787998338870432,0.5116279069767442,0.0,0.375,0.6285714285714286,0.5833333333333333,0.375,0.375,0.375,0.6322845417236662,0.7529411764705882,0.7443932411674348,0.6285714285714286
11,frozen_thresholds,0.48,0.35,0.535,0.51,dev_grid_search,0.453125,0.4276638669301713,0.55,0.17391304347826086,0.42424242424242425,0.5625,0.6121212121212122,0.42424242424242425,0.4117647058823529,0.4375,0.6727272727272727,0.7954545454545454,0.7083333333333333,0.5625
22,exact_reproduction,0.5,0.4,0.55,0.5,historical_routing_variant_results,0.484375,0.47568351691581434,0.43902439024390244,0.25,0.375,0.8387096774193549,0.5833333333333333,0.375,0.375,0.375,0.5873282870759742,0.735632183908046,0.8935816428333887,0.8387096774193549
22,frozen_thresholds,0.48,0.4,0.535,0.51,dev_grid_search,0.515625,0.47812812009699046,0.4878048780487805,0.10526315789473684,0.4444444444444444,0.875,0.6135265700483092,0.4444444444444444,0.4,0.5,0.6232127838519764,0.7586206896551724,0.9166666666666667,0.875
33,exact_reproduction,0.35,0.35,0.4,0.45,historical_routing_variant_results,0.484375,0.46616718036155375,0.34782608695652173,0.3076923076923077,0.4444444444444444,0.7647058823529411,0.571619812583668,0.4444444444444444,0.3448275862068966,0.625,0.6024844720496894,0.8571428571428571,0.8397997496871088,0.7647058823529411
33,frozen_thresholds,0.48,0.35,0.535,0.51,dev_grid_search,0.5,0.4265300059417706,0.5777777777777777,0.0,0.36363636363636365,0.7647058823529411,0.5712918660287081,0.36363636363636365,0.35294117647058826,0.375,0.6744310575635877,0.7710843373493976,0.8397997496871088,0.7647058823529411
44,exact_reproduction,0.4,0.4,0.4,0.45,historical_routing_variant_results,0.453125,0.4112554112554112,0.19047619047619047,0.2222222222222222,0.45454545454545453,0.7777777777777778,0.5844155844155844,0.45454545454545453,0.35714285714285715,0.625,0.5157988429016467,0.8411214953271028,0.8454106280193237,0.7777777777777778
44,frozen_thresholds,0.48,0.4,0.535,0.51,dev_grid_search,0.515625,0.4987179487179488,0.46153846153846156,0.3333333333333333,0.4,0.8,0.6081632653061224,0.4,0.42857142857142855,0.375,0.6127917026793431,0.7640449438202247,0.8623655913978494,0.8
55,exact_reproduction,0.5,0.4,0.4,0.55,historical_routing_variant_results,0.421875,0.3690649224806202,0.4375,0.0,0.37209302325581395,0.6666666666666666,0.5272229822161423,0.37209302325581395,0.2962962962962963,0.5,0.625,0.8125,0.7681159420289855,0.6666666666666666
55,frozen_thresholds,0.48,0.4,0.535,0.51,dev_grid_search,0.453125,0.39325529542920845,0.5217391304347826,0.0,0.38461538461538464,0.6666666666666666,0.6138763197586727,0.38461538461538464,0.5,0.3125,0.6267232237539766,0.7317073170731707,0.7681159420289855,0.6666666666666666
66,exact_reproduction,0.55,0.35,0.5,0.6,historical_routing_variant_results,0.453125,0.39229578010065813,0.4444444444444444,0.0,0.43902439024390244,0.6857142857142857,0.5873282870759742,0.43902439024390244,0.36,0.5625,0.6135265700483092,0.782608695652174,0.7837173579109062,0.6857142857142857
66,frozen_thresholds,0.48,0.35,0.535,0.51,dev_grid_search,0.46875,0.4499305555555556,0.4375,0.24,0.4,0.7222222222222222,0.5870967741935484,0.4,0.3684210526315789,0.4375,0.625,0.8125,0.8067632850241546,0.7222222222222222
77,exact_reproduction,0.45,0.3,0.55,0.55,historical_routing_variant_results,0.484375,0.4376321974148061,0.5,0.2,0.34782608695652173,0.7027027027027027,0.6024844720496894,0.34782608695652173,0.5714285714285714,0.25,0.6,0.7,0.7909117909117909,0.7027027027027027
77,frozen_thresholds,0.48,0.3,0.535,0.51,dev_grid_search,0.5,0.48479729729729737,0.4864864864864865,0.3333333333333333,0.4166666666666667,0.7027027027027027,0.6410256410256411,0.4166666666666667,0.625,0.3125,0.6388476388476388,0.7912087912087912,0.7909117909117909,0.7027027027027027
88,exact_reproduction,0.35,0.3,0.5,0.5,historical_routing_variant_results,0.4375,0.43710839598997486,0.375,0.2857142857142857,0.42105263157894735,0.6666666666666666,0.5883040935672514,0.42105263157894735,0.36363636363636365,0.5,0.5833333333333333,0.7916666666666666,0.782312925170068,0.6666666666666666
