threshold,tp,fp,fn,tn,precision,recall,f1,task,baseline,n_total,n_positive
0.0,333,111,0,0,0.75,1.0,0.8571428571428571,supported_vs_overclaim,rule_scalar_score,444,333
1.0,246,80,87,31,0.754601226993865,0.7387387387387387,0.7465857359635811,supported_vs_overclaim,rule_scalar_score,444,333
2.0,186,60,147,51,0.7560975609756098,0.5585585585585585,0.6424870466321243,supported_vs_overclaim,rule_scalar_score,444,333
3.0,106,33,227,78,0.762589928057554,0.3183183183183183,0.4491525423728814,supported_vs_overclaim,rule_scalar_score,444,333
0.0,150,50,0,0,0.75,1.0,0.8571428571428571,supported_vs_overclaim,llm_scalar_proxy,200,150
1.0,106,0,44,50,1.0,0.7066666666666667,0.828125,supported_vs_overclaim,llm_scalar_proxy,200,150
2.0,53,0,97,50,1.0,0.35333333333333333,0.5221674876847291,supported_vs_overclaim,llm_scalar_proxy,200,150
3.0,51,0,99,50,1.0,0.34,0.5074626865671642,supported_vs_overclaim,llm_scalar_proxy,200,150
0.0,111,111,0,0,0.5,1.0,0.6666666666666666,mild_vs_strong,rule_scalar_score,222,111
1.0,84,80,27,31,0.5121951219512195,0.7567567567567568,0.610909090909091,mild_vs_strong,rule_scalar_score,222,111
2.0,60,61,51,50,0.49586776859504134,0.5405405405405406,0.5172413793103449,mild_vs_strong,rule_scalar_score,222,111
3.0,33,33,78,78,0.5,0.2972972972972973,0.3728813559322034,mild_vs_strong,rule_scalar_score,222,111
0.0,50,50,0,0,0.5,1.0,0.6666666666666666,mild_vs_strong,llm_scalar_proxy,100,50
1.0,31,27,19,23,0.5344827586206896,0.62,0.5740740740740741,mild_vs_strong,llm_scalar_proxy,100,50
2.0,10,1,40,49,0.9090909090909091,0.2,0.32786885245901637,mild_vs_strong,llm_scalar_proxy,100,50
3.0,8,1,42,49,0.8888888888888888,0.16,0.2711864406779661,mild_vs_strong,llm_scalar_proxy,100,50
0.0,111,111,0,0,0.5,1.0,0.6666666666666666,strong_vs_contradiction,rule_scalar_score,222,111
1.0,82,84,29,27,0.4939759036144578,0.7387387387387387,0.592057761732852,strong_vs_contradiction,rule_scalar_score,222,111
2.0,65,60,46,51,0.52,0.5855855855855856,0.5508474576271186,strong_vs_contradiction,rule_scalar_score,222,111
3.0,40,33,71,78,0.547945205479452,0.36036036036036034,0.43478260869565216,strong_vs_contradiction,rule_scalar_score,222,111
0.0,50,50,0,0,0.5,1.0,0.6666666666666666,strong_vs_contradiction,llm_scalar_proxy,100,50
1.0,48,31,2,19,0.6075949367088608,0.96,0.7441860465116279,strong_vs_contradiction,llm_scalar_proxy,100,50
2.0,42,10,8,40,0.8076923076923077,0.84,0.8235294117647058,strong_vs_contradiction,llm_scalar_proxy,100,50
3.0,42,8,8,42,0.84,0.84,0.84,strong_vs_contradiction,llm_scalar_proxy,100,50
0.0,111,333,0,0,0.25,1.0,0.4,strong_vs_nonstrong,rule_scalar_score,444,111
1.0,84,242,27,91,0.25766871165644173,0.7567567567567568,0.38443935926773454,strong_vs_nonstrong,rule_scalar_score,444,111
2.0,60,186,51,147,0.24390243902439024,0.5405405405405406,0.33613445378151263,strong_vs_nonstrong,rule_scalar_score,444,111
3.0,33,106,78,227,0.23741007194244604,0.2972972972972973,0.264,strong_vs_nonstrong,rule_scalar_score,444,111
0.0,50,150,0,0,0.25,1.0,0.4,strong_vs_nonstrong,llm_scalar_proxy,200,50
1.0,31,75,19,75,0.29245283018867924,0.62,0.3974358974358974,strong_vs_nonstrong,llm_scalar_proxy,200,50
2.0,10,43,40,107,0.18867924528301888,0.2,0.1941747572815534,strong_vs_nonstrong,llm_scalar_proxy,200,50
3.0,8,43,42,107,0.1568627450980392,0.16,0.15841584158415842,strong_vs_nonstrong,llm_scalar_proxy,200,50
