candidate_id,rank,bm25_score
SBV2-ALL92-G002-CONTRA,1,27.3892
SBV2-ALL92-G002-MILD,1,30.8507
SBV2-ALL92-G002-STRONG,1,39.9191
SBV2-ALL92-G002-SUPPORTED,1,46.1362
SBV2-ALL92-G003-CONTRA,1,41.5261
SBV2-ALL92-G003-MILD,1,48.7726
SBV2-ALL92-G003-STRONG,1,54.3138
SBV2-ALL92-G003-SUPPORTED,1,48.7726
SBV2-ALL92-G004-CONTRA,1,36.0196
SBV2-ALL92-G004-MILD,1,87.3716
SBV2-ALL92-G004-STRONG,1,79.0118
SBV2-ALL92-G004-SUPPORTED,1,91.0366
SBV2-ALL92-G007-CONTRA,1,47.4363
SBV2-ALL92-G007-MILD,1,52.0011
SBV2-ALL92-G007-STRONG,1,62.4916
SBV2-ALL92-G007-SUPPORTED,1,56.2021
SBV2-ALL92-G008-CONTRA,1,23.3297
SBV2-ALL92-G008-MILD,1,23.6222
SBV2-ALL92-G008-STRONG,1,18.0409
SBV2-ALL92-G008-SUPPORTED,1,19.3223
SBV2-ALL92-G011-CONTRA,1,38.2709
SBV2-ALL92-G011-MILD,1,39.8109
SBV2-ALL92-G011-STRONG,1,38.2427
SBV2-ALL92-G011-SUPPORTED,1,38.0234
SBV2-ALL92-G013-C01,1,34.2637
SBV2-ALL92-G013-C02,1,37.5609
SBV2-ALL92-G013-C03,1,36.6013
SBV2-ALL92-G013-C04,1,28.4698
SBV2-ALL92-G014-C01,1,57.5221
SBV2-ALL92-G014-C02,1,62.4471
SBV2-ALL92-G014-C03,1,67.8635
SBV2-ALL92-G014-C04,1,48.7417
SBV2-ALL92-G018-C01,1,50.2449
SBV2-ALL92-G018-C02,1,47.7303
SBV2-ALL92-G018-C03,1,43.4446
SBV2-ALL92-G018-C04,1,44.3281
SBV2-ALL92-G019-C01,1,57.94
SBV2-ALL92-G019-C02,1,56.0157
SBV2-ALL92-G019-C03,1,56.0157
SBV2-ALL92-G019-C04,1,33.6472
SBV2-ALL92-G020-C01,1,83.5577
SBV2-ALL92-G020-C02,1,83.5577
SBV2-ALL92-G020-C03,1,69.9315
SBV2-ALL92-G020-C04,1,68.1268
SBV2-ALL92-G021-C01,1,31.518
SBV2-ALL92-G021-C02,1,29.1694
SBV2-ALL92-G021-C03,1,32.5575
SBV2-ALL92-G021-C04,1,31.518
SBV2-ALL92-G025-C01,1,50.6903
SBV2-ALL92-G025-C02,1,50.6903
SBV2-ALL92-G025-C03,1,54.5285
SBV2-ALL92-G025-C04,1,28.3982
SBV2-ALL92-G027-C01,1,39.1241
SBV2-ALL92-G027-C02,1,39.2668
SBV2-ALL92-G027-C03,1,39.2668
SBV2-ALL92-G027-C04,1,22.7795
SBV2-ALL92-G028-C01,1,54.9785
SBV2-ALL92-G028-C02,1,49.3581
SBV2-ALL92-G028-C03,1,55.4729
SBV2-ALL92-G028-C04,1,29.6523
SBV2-ALL92-G030-C01,1,26.9158
SBV2-ALL92-G030-C02,1,26.5782
SBV2-ALL92-G030-C03,1,22.8012
SBV2-ALL92-G030-C04,1,24.8029
SBV2-ALL92-G031-C01,1,25.6587
SBV2-ALL92-G031-C02,1,25.6587
SBV2-ALL92-G031-C03,1,29.761
SBV2-ALL92-G031-C04,1,25.6587
SBV2-ALL92-G032-C01,1,47.0805
SBV2-ALL92-G032-C02,1,49.6159
SBV2-ALL92-G032-C03,1,50.848
SBV2-ALL92-G032-C04,1,42.3337
SBV2-ALL92-G033-C01,1,31.0488
SBV2-ALL92-G033-C02,1,31.0488
SBV2-ALL92-G033-C03,1,28.4662
SBV2-ALL92-G033-C04,1,33.4606
SBV2-ALL92-G034-C01,1,40.1802
SBV2-ALL92-G034-C02,1,40.1802
SBV2-ALL92-G034-C03,1,35.854
SBV2-ALL92-G034-C04,1,32.2229
SBV2-ALL92-G035-C01,1,31.3853
SBV2-ALL92-G035-C02,1,30.2014
SBV2-ALL92-G035-C03,1,29.3071
SBV2-ALL92-G035-C04,1,24.9554
SBV2-ALL92-G036-C01,1,26.0353
SBV2-ALL92-G036-C02,1,22.6342
SBV2-ALL92-G036-C03,1,28.4075
SBV2-ALL92-G036-C04,1,22.1272
SBV2-ALL92-G037-C01,1,27.2409
SBV2-ALL92-G037-C02,1,26.4611
SBV2-ALL92-G037-C03,1,42.9692
SBV2-ALL92-G037-C04,1,31.6582
SBV2-ALL92-G038-C01,1,25.4969
SBV2-ALL92-G038-C02,1,27.8128
SBV2-ALL92-G038-C03,1,25.4969
SBV2-ALL92-G038-C04,1,25.4969
SBV2-ALL92-G040-C01,1,27.9052
SBV2-ALL92-G040-C02,1,31.415
SBV2-ALL92-G040-C03,1,31.415
SBV2-ALL92-G040-C04,1,31.415
SBV2-ALL92-G042-C01,1,38.5199
SBV2-ALL92-G042-C02,1,34.8972
SBV2-ALL92-G042-C03,1,37.4715
SBV2-ALL92-G042-C04,1,36.2222
SBV2-ALL92-G043-C01,1,46.9733
SBV2-ALL92-G043-C02,1,44.9199
SBV2-ALL92-G043-C03,1,44.9199
SBV2-ALL92-G043-C04,1,44.9199
SBV2-ALL92-G047-C01,1,51.034
SBV2-ALL92-G047-C02,1,55.6829
SBV2-ALL92-G047-C03,1,51.1714
SBV2-ALL92-G047-C04,1,47.828
SBV2-ALL92-G051-C01,1,41.7966
SBV2-ALL92-G051-C02,1,34.2991
SBV2-ALL92-G051-C03,1,34.2991
SBV2-ALL92-G051-C04,1,37.4296
SBV2-ALL92-G052-C01,1,20.0492
SBV2-ALL92-G052-C02,1,20.0492
SBV2-ALL92-G052-C03,1,20.3099
SBV2-ALL92-G052-C04,1,24.8708
SBV2-ALL92-G057-C01,1,55.7172
SBV2-ALL92-G057-C02,1,55.7172
SBV2-ALL92-G057-C03,1,53.9713
SBV2-ALL92-G057-C04,1,55.7172
SBV2-ALL92-G060-C01,1,46.3627
SBV2-ALL92-G060-C02,1,42.8961
SBV2-ALL92-G060-C03,1,34.0414
SBV2-ALL92-G060-C04,1,36.8712
SBV2-ALL92-G062-C01,1,34.4987
SBV2-ALL92-G062-C02,1,34.4987
SBV2-ALL92-G062-C03,1,34.4987
SBV2-ALL92-G062-C04,1,34.1759
SBV2-ALL92-G065-C01,1,21.5941
SBV2-ALL92-G065-C02,1,54.1316
SBV2-ALL92-G065-C03,1,18.5269
SBV2-ALL92-G065-C04,1,17.9651
SBV2-ALL92-G067-C01,1,50.5391
SBV2-ALL92-G067-C02,1,50.5391
SBV2-ALL92-G067-C03,1,50.6085
