paper_id,source_pair_id,title,arxiv_id,source_url,pdf_path,file_exists,file_size,match_method,confidence,domain
AD-001,AD-001,nuPlan-R: A Closed-Loop Planning Benchmark for Autonomous Driving via Reactive Multi-Agent Simulation,2511.10403,https://arxiv.org/abs/2511.10403,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-001__2511.10403.pdf,True,961057,exact_filename,1.0,autonomous_driving
AD-002,AD-002,Open-Source Modular Benchmark for Diffusion-Based Motion Planning in Closed-Loop Autonomous Driving,2603.01023,https://arxiv.org/abs/2603.01023,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-002__2603.01023.pdf,True,1434823,exact_filename,1.0,autonomous_driving
AD-003,AD-003,HiDrive: A Closed-Loop Benchmark for High-Level Autonomous Driving,2605.09972,https://arxiv.org/abs/2605.09972,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-003__2605.09972.pdf,True,28379003,exact_filename,1.0,autonomous_driving
AD-004,AD-004,Bench2Drive-Robust: Benchmarking Closed-Loop Autonomous Driving under Deployment Perturbations,2605.18059,https://arxiv.org/abs/2605.18059,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-004__2605.18059.pdf,True,10622165,exact_filename,1.0,autonomous_driving
AD-005,AD-005,Bench2Drive-R: Realistic Reactive Closed-Loop Benchmark,2412.09647,https://arxiv.org/abs/2412.09647,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-005__2412.09647.pdf,True,42281366,exact_filename,1.0,autonomous_driving
AD-006,AD-006,Bench2ADVLM,2508.02028,https://arxiv.org/abs/2508.02028,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-006__2508.02028.pdf,True,1828115,exact_filename,1.0,autonomous_driving
AD-007,AD-007,RoboDriveVLM / RoboDriveBench,2512.013,https://arxiv.org/abs/2512.01300,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-007__2512.01300.pdf,True,9501484,exact_filename,1.0,autonomous_driving
AD-009,AD-009,ScenePilot-Bench,2601.19582,https://arxiv.org/abs/2601.19582,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-009__2601.19582.pdf,True,11439475,exact_filename,1.0,autonomous_driving
AD-010,AD-010,DSBench: Driving Safety Benchmark,2511.14592,https://arxiv.org/abs/2511.14592,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-010__2511.14592.pdf,True,21410492,exact_filename,1.0,autonomous_driving
AD-011,AD-011,DriveVLM,2402.12289,https://arxiv.org/abs/2402.12289,D:\ocn_backup_20260704_1606\data\source_bank_v2\pdfs\AD-011__2402.12289.pdf,True,9180928,exact_filename,1.0,autonomous_driving
