dataset,budget_fraction,n_reviewed,recall_at_budget,precision_at_budget,frozen_review_burden,frozen_recall,frozen_precision,frozen_f1,frozen_fp_tp_ratio
matched_100,0.1,10,0.08,0.2,0.35,0.36,0.2571428571428571,0.3,2.888888888888889
matched_100,0.2,20,0.08,0.1,0.35,0.36,0.2571428571428571,0.3,2.888888888888889
matched_100,0.3,30,0.24,0.2,0.35,0.36,0.2571428571428571,0.3,2.888888888888889
matched_100,0.4,40,0.36,0.2571428571428571,0.35,0.36,0.2571428571428571,0.3,2.888888888888889
matched_100,0.5,50,0.36,0.2571428571428571,0.35,0.36,0.2571428571428571,0.3,2.888888888888889
matched_100,0.6,60,0.36,0.2571428571428571,0.35,0.36,0.2571428571428571,0.3,2.888888888888889
matched_100,0.7,70,0.36,0.2571428571428571,0.35,0.36,0.2571428571428571,0.3,2.888888888888889
matched_100,0.8,80,0.36,0.2571428571428571,0.35,0.36,0.2571428571428571,0.3,2.888888888888889
matched_100,0.9,90,0.36,0.2571428571428571,0.35,0.36,0.2571428571428571,0.3,2.888888888888889
matched_100,1.0,100,0.36,0.2571428571428571,0.35,0.36,0.2571428571428571,0.3,2.888888888888889
matched_200,0.1,20,0.08,0.2,0.32,0.36,0.28125,0.3157894736842105,2.5555555555555554
matched_200,0.2,40,0.14,0.175,0.32,0.36,0.28125,0.3157894736842105,2.5555555555555554
matched_200,0.3,60,0.3,0.25,0.32,0.36,0.28125,0.3157894736842105,2.5555555555555554
matched_200,0.4,80,0.36,0.28125,0.32,0.36,0.28125,0.3157894736842105,2.5555555555555554
matched_200,0.5,100,0.36,0.28125,0.32,0.36,0.28125,0.3157894736842105,2.5555555555555554
matched_200,0.6,120,0.36,0.28125,0.32,0.36,0.28125,0.3157894736842105,2.5555555555555554
matched_200,0.7,140,0.36,0.28125,0.32,0.36,0.28125,0.3157894736842105,2.5555555555555554
matched_200,0.8,160,0.36,0.28125,0.32,0.36,0.28125,0.3157894736842105,2.5555555555555554
matched_200,0.9,180,0.36,0.28125,0.32,0.36,0.28125,0.3157894736842105,2.5555555555555554
matched_200,1.0,200,0.36,0.28125,0.32,0.36,0.28125,0.3157894736842105,2.5555555555555554
