method,prevalence,tp_mean,fp_mean,fn_mean,tn_mean,recall_mean,recall_ci_lo,recall_ci_hi,precision_mean,precision_ci_lo,precision_ci_hi,positive_f1_mean,positive_f1_ci_lo,positive_f1_ci_hi,fp_tp_ratio_mean,fp_tp_ratio_median,fp_tp_ratio_ci_lo,fp_tp_ratio_ci_hi,review_burden_mean,review_burden_ci_lo,review_burden_ci_hi,number_needed_to_review_per_true_strong_mean,number_needed_to_review_per_true_strong_median,number_needed_to_review_per_true_strong_ci_lo,number_needed_to_review_per_true_strong_ci_hi,accuracy_mean,accuracy_ci_lo,accuracy_ci_hi,llm_missed_strong_captured_by_r4_mean,strong_cases_missed_by_all_methods_mean,accuracy_median,fn_ci_hi,fn_ci_lo,fn_median,fp_ci_hi,fp_ci_lo,fp_median,positive_f1_median,precision_median,recall_median,review_burden_median,tn_ci_hi,tn_ci_lo,tn_median,tp_ci_hi,tp_ci_lo,tp_median
r4,0.01,3.626,459.775,6.374,530.225,0.3626,0.4,0.4,0.00782064159069131,0.008791208791208791,0.008928571428571428,0.015310688574468167,0.017204301075268814,0.017467248908296942,158.31726849853737,121.0,156.33333333333334,111.0,0.463401,0.455,0.448,159.31726849853737,122.0,157.33333333333334,112.0,0.5338510000000001,0.543,0.55,3.194,6.374,0.534,6,6,6.0,444,451,459.0,0.016000000000000004,0.00816326530612245,0.4,0.463,546,539,531.0,4,4,4.0
gpt_standard,0.01,0.432,0,9.568,990,0.0432,0.1,0.2,0.353,1.0,1.0,0.07585347985347986,0.18181818181818182,0.33333333333333337,0.0,0.0,0.0,0.0,0.000432,0.001,0.002,1.0,1.0,1.0,1.0,0.990432,0.991,0.992,3.194,6.374,0.99,8,9,10.0,0,0,0.0,0.0,0.0,0.0,0.0,990,990,990.0,2,1,0.0
gpt_structured,0.01,0.432,0,9.568,990,0.0432,0.1,0.2,0.353,1.0,1.0,0.07585347985347986,0.18181818181818182,0.33333333333333337,0.0,0.0,0.0,0.0,0.000432,0.001,0.002,1.0,1.0,1.0,1.0,0.990432,0.991,0.992,3.194,6.374,0.99,8,9,10.0,0,0,0.0,0.0,0.0,0.0,0.0,990,990,990.0,2,1,0.0
deepseek,0.01,0.432,0,9.568,990,0.0432,0.1,0.2,0.353,1.0,1.0,0.07585347985347986,0.18181818181818182,0.33333333333333337,0.0,0.0,0.0,0.0,0.000432,0.001,0.002,1.0,1.0,1.0,1.0,0.990432,0.991,0.992,3.194,6.374,0.99,8,9,10.0,0,0,0.0,0.0,0.0,0.0,0.0,990,990,990.0,2,1,0.0
r4,0.03,10.819,450.27,19.181,519.73,0.3606333333333333,0.2,0.23333333333333334,0.023461901471335363,0.013422818791946308,0.015486725663716814,0.04405449390473554,0.025157232704402517,0.029045643153526972,44.74915781328235,41.04545454545455,73.5,63.57142857142857,0.461089,0.447,0.452,45.74915781328235,42.04545454545455,74.5,64.57142857142857,0.530549,0.535,0.532,9.637,19.181,0.531,23,24,19.0,445,441,450.0,0.044670096802387906,0.023783811580787823,0.36666666666666664,0.461,525,529,520.0,7,6,11.0
gpt_standard,0.03,1.182,0,28.818,970,0.0394,0.0,0.03333333333333333,0.711,0.0,1.0,0.0737316407501417,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.001182,0.0,0.001,1.0,1.0,1.0,1.0,0.971182,0.97,0.971,9.637,19.181,0.971,29,30,29.0,0,0,0.0,0.06451612903225806,1.0,0.03333333333333333,0.001,970,970,970.0,1,0,1.0
gpt_structured,0.03,1.182,0,28.818,970,0.0394,0.0,0.03333333333333333,0.711,0.0,1.0,0.0737316407501417,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.001182,0.0,0.001,1.0,1.0,1.0,1.0,0.971182,0.97,0.971,9.637,19.181,0.971,29,30,29.0,0,0,0.0,0.06451612903225806,1.0,0.03333333333333333,0.001,970,970,970.0,1,0,1.0
deepseek,0.03,1.182,0,28.818,970,0.0394,0.0,0.03333333333333333,0.711,0.0,1.0,0.0737316407501417,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.001182,0.0,0.001,1.0,1.0,1.0,1.0,0.971182,0.97,0.971,9.637,19.181,0.971,29,30,29.0,0,0,0.0,0.06451612903225806,1.0,0.03333333333333333,0.001,970,970,970.0,1,0,1.0
r4,0.05,17.926,441.015,32.074,508.985,0.35852,0.44,0.32,0.03905298554020782,0.05104408352668213,0.03611738148984198,0.07042640744831533,0.09147609147609147,0.06490872210953347,25.63269788453849,24.72222222222222,18.59090909090909,26.6875,0.458941,0.431,0.443,26.63269788453849,25.72222222222222,19.59090909090909,27.6875,0.526911,0.563,0.539,15.929,32.074,0.527,34,28,32.0,427,409,441.0,0.07020786717255245,0.038876889848812095,0.36,0.459,523,541,509.0,16,22,18.0
gpt_standard,0.05,1.997,0,48.003,950,0.03994,0.06,0.02,0.869,1.0,1.0,0.07545569323712988,0.11320754716981131,0.0392156862745098,0.0,0.0,0.0,0.0,0.001997,0.003,0.001,1.0,1.0,1.0,1.0,0.951997,0.953,0.951,15.929,32.074,0.952,49,47,48.0,0,0,0.0,0.07692307692307693,1.0,0.04,0.002,950,950,950.0,1,3,2.0
